(-0.07816,0.10722)
(0.02395,0.11975)
(0.11480,-0.03003)
(0.10557,-0.07838)
(-0.07384,-0.10927)
(-0.11522,0.01317)
(-0.16635,0.13629)
(-0.08733,0.17246)
(-0.03852,0.17333)
(0.00855,0.17313)
(0.05417,0.17339)
(0.13429,0.16330)
(0.17719,0.10436)
(0.17820,0.02914)
(0.17860,-0.04128)
(0.17917,-0.05864)
(0.11843,-0.16809)
(0.03986,-0.17333)
(-0.00949,-0.17312)
(-0.11872,-0.16792)
(-0.17756,-0.10174)
(-0.17818,-0.02956)
(-0.17835,0.09552)
(-0.18857,0.19703)
(-0.12327,0.20990)
(-0.11435,0.20987)
(-0.05671,0.20713)
(-0.03012,0.20584)
(0.00684,0.20528)
(0.02556,0.20567)
(0.05292,0.20692)
(0.08058,0.20856)
(0.11968,0.20998)
(0.15764,0.20716)
(0.20940,0.18018)
(0.22328,0.09049)
(0.22083,0.06298)
(0.21789,0.02439)
(0.21748,-0.01310)
(0.22023,-0.05640)
(0.22426,-0.10511)
(0.21633,-0.16783)
(0.17547,-0.20281)
(0.05068,-0.20680)
(0.01545,-0.20539)
(-0.04601,-0.20654)
(-0.14197,-0.20913)
(-0.20836,-0.18125)
(-0.22089,-0.06366)
(-0.21903,-0.04239)
(-0.21899,0.04192)
(-0.22399,0.13818)
(-0.22981,0.23059)
(-0.17545,0.24163)
(-0.14809,0.24105)
(-0.11467,0.23831)
(-0.09948,0.23667)
(-0.06722,0.23322)
(-0.05636,0.23218)
(-0.03022,0.23032)
(-0.01176,0.22962)
(0.01157,0.22963)
(0.03718,0.23071)
(0.07109,0.23361)
(0.09547,0.23623)
(0.12305,0.23915)
(0.14938,0.24111)
(0.17369,0.24159)
(0.25488,0.20757)
(0.26506,0.15448)
(0.26054,0.11281)
(0.25828,0.09832)
(0.25053,0.04360)
(0.24932,0.03013)
(0.24864,-0.02142)
(0.25354,-0.06763)
(0.25846,-0.09941)
(0.26070,-0.11398)
(0.26503,-0.16614)
(0.20710,-0.23808)
(0.14737,-0.24101)
(0.07368,-0.23387)
(0.03278,-0.23046)
(-0.06474,-0.23296)
(-0.08817,-0.23542)
(-0.15463,-0.24138)
(-0.20778,-0.23796)
(-0.26503,-0.16539)
(-0.26068,-0.11373)
(-0.24932,-0.03006)
(-0.24917,0.02835)
(-0.25541,0.08035)
(-0.26232,0.18855)
(-0.25562,0.26684)
(-0.22203,0.27106)
(-0.20233,0.27099)
(-0.16651,0.26805)
(-0.15481,0.26660)
(-0.12417,0.26212)
(-0.10169,0.25863)
(-0.08811,0.25657)
(-0.06621,0.25358)
(-0.04078,0.25088)
(-0.03680,0.25052)
(-0.01038,0.24919)
(0.01421,0.24934)
(0.02880,0.25000)
(0.06047,0.25288)
(0.07061,0.25412)
(0.09560,0.25770)
(0.10734,0.25951)
(0.13480,0.26372)
(0.16799,0.26824)
(0.18707,0.27014)
(0.23065,0.27063)
(0.24264,0.26950)
(0.29837,0.23495)
(0.30312,0.17720)
(0.29472,0.13358)
(0.28883,0.10788)
(0.27917,0.06001)
(0.27503,0.02737)
(0.27400,-0.00507)
(0.27407,-0.00885)
(0.27698,-0.04509)
(0.28020,-0.06607)
(0.28786,-0.10355)
(0.29542,-0.13671)
(0.30285,-0.17494)
(0.29055,-0.24749)
(0.27154,-0.26146)
(0.18288,-0.26975)
